FREQ	WORD	FPM
7492	the	51893.00012467619
6349	on	43976.0621718592
5624	hbo	38954.3823680164
5561	max	38518.01570919972
3343	of	23155.138736891684
2789	and	19317.882721265603
2476	streaming	17149.902336985884
2342	to	16221.757380137698
2289	now	15854.655270339535
2078	stream	14393.173286048734
2054	is	14226.938368404284
1950	a	13506.587058611662
1895	in	13125.632039009794
1832	at	12689.26538019311
1801	for	12474.545278235693
1760	new	12190.560627259756
1645	up	11394.01831354676
1472	9.99	10195.741615526342
1414	plans	9794.007231218917
1376	sign	9530.801944948536
1230	start	8519.539529278125
1180	month	8173.216784185518
1173	's	8124.7315998725535
983	season	6808.705168520648
967	with	6697.881890091014
865	your	5991.3834901020955
828	series	5735.104658733567
801	all	5548.0903763835595
784	theaters	5430.340643052073
771	experience	5340.296729327995
721	only	4993.973984235388
694	plan	4806.959701885381
686	you	4751.548062670564
651	like	4509.1221411057395
612	are	4238.990399933506
563	n't	3899.5941097427512
551	including	3816.476650920526
540	just	3740.2856470001525
514	this	3560.197819551997
490	mo	3393.9629019075455
487	more	3373.183537201989
478	it	3310.84544308532
476	free	3296.9925332816156
473	time	3276.2131685760596
472	do	3269.2867136742075
461	from	3193.095709753834
438	that	3033.7872470112347
422	premieres	2922.9639685816005
401	movies	2777.5084156427056
391	episode	2708.243866624184
389	see	2694.3909568204804
375	i	2597.4205881945504
371	ad	2569.714768587142
353	dune	2445.0385803538034
337	epic	2334.215301924169
322	2	2230.318478396387
317	miss	2195.6862038871263
290	matrix	2008.6719215371188
279	3	1932.4809176167455
271	october	1877.0692784019284
267	limited	1849.3634587945198
265	house	1835.5105489908156
264	resurrections	1828.5840940889634
263	discover	1821.6576391871113
253	episodes	1752.3930901685899
246	starting	1703.907905855625
245	dragon	1696.9814509537728
241	love	1669.2756313463642
237	via	1641.5698117389559
235	life	1627.7169019352516
227	fi	1572.3052627204345
226	sci	1565.3788078185823
222	months	1537.6729882111738
220	be	1523.8200784074695
220	6	1523.8200784074695
219	my	1516.8936235056174
219	by	1516.8936235056174
218	us	1509.9671686037652
218	into	1509.9671686037652
217	original	1503.040713701913
212	get	1468.4084391926524
211	biggest	1461.4819842908003
211	save	1461.4819842908003
204	drama	1412.9967999778353
203	last	1406.0703450759831
202	21	1399.143890174131
200	catch	1385.2909803704267
199	story	1378.3645254685746
195	king	1350.658705861166
193	back	1336.805796057462
190	every	1316.0264313519056
189	acclaimed	1309.0999764500534
186	there	1288.320611744497
185	year	1281.3941568426449
184	what	1274.4677019407927
181	peacemaker	1253.6883372352363
180	good	1246.7618823333842
180	january	1246.7618823333842
179	christmas	1239.835427431532
176	our	1219.0560627259756
175	entertainment	1212.1296078241235
175	favorite	1212.1296078241235
175	pm	1212.1296078241235
174	movie	1205.2031529222713
173	we	1198.2766980204192
172	watch	1191.350243118567
172	best	1191.350243118567
169	over	1170.5708784130106
168	richard	1163.6444235111585
165	sex	1142.865058805602
164	an	1135.93860390375
164	about	1135.93860390375
164	comedy	1135.93860390375
164	dc	1135.93860390375
161	out	1115.1592391981935
161	offer	1115.1592391981935
160	one	1108.2327842963414
158	harry	1094.379874492637
157	day	1087.453419590785
156	find	1080.5269646889328
155	some	1073.6005097870807
155	college	1073.6005097870807
154	winning	1066.6740548852285
153	et	1059.7475999833764
151	hits	1045.8946901796724
150	coming	1038.9682352778202
149	potter	1032.041780375968
149	me	1032.041780375968
149	will	1032.041780375968
148	8	1025.115325474116
148	world	1025.115325474116
144	who	997.4095058667073
143	november	990.4830509648551
142	1	983.556596063003
140	batman	969.7036862592988
140	most	969.7036862592988
137	has	948.9243215537424
137	girl	948.9243215537424
137	true	948.9243215537424
137	sagas	948.9243215537424
137	euphoria	948.9243215537424
136	tonight	941.9978666518903
135	action	935.0714117500381
134	emmy	928.144956848186
133	not	921.2185019463338
133	game	921.2185019463338
132	when	914.2920470444817
129	off	893.5126823389253
128	family	886.5862274370731
127	choice	879.659772535221
127	seasons	879.659772535221
125	little	865.8068627315167
124	iconic	858.8804078296646
124	're	858.8804078296646
122	as	845.0274980259603
122	white	845.0274980259603
121	show	838.1010431241082
121	lives	838.1010431241082
120	her	831.174588222256
120	secrets	831.174588222256
120	5	831.174588222256
119	heroes	824.2481333204039
118	enjoy	817.3216784185519
118	explore	817.3216784185519
117	favorites	810.3952235166997
117	9	810.3952235166997
117	#hotd	810.3952235166997
116	next	803.4687686148476
115	have	796.5423137129955
115	less	796.5423137129955
114	before	789.6158588111433
114	girls	789.6158588111433
113	#thelastofus	782.6894039092912
112	many	775.762949007439
109	animated	754.9835843018826
108	night	748.0571294000305
108	anniversary	748.0571294000305
108	death	748.0571294000305
108	#houseofthedragon	748.0571294000305
107	available	741.1306744981783
107	returns	741.1306744981783
107	december	741.1306744981783
106	flight	734.2042195963262
106	fresh	734.2042195963262
105	20th	727.2777646944741
102	can	706.4983999889176
102	take	706.4983999889176
102	attendant	706.4983999889176
102	fantastic	706.4983999889176
101	they	699.5719450870655
101	beasts	699.5719450870655
100	price	692.6454901852134
98	here	678.7925803815091
98	exclusively	678.7925803815091
98	or	678.7925803815091
98	their	678.7925803815091
97	never	671.8661254796571
97	gossip	671.8661254796571
97	succession	671.8661254796571
97	#peacemakerparty	671.8661254796571
96	own	664.9396705778049
95	hacks	658.0132156759528
95	#euphoria	658.0132156759528
94	first	651.0867607741006
94	ready	651.0867607741006
93	he	644.1603058722485
93	award	644.1603058722485
93	friends	644.1603058722485
93	certified	644.1603058722485
93	february	644.1603058722485
92	but	637.2338509703964
92	plus	637.2338509703964
92	40	637.2338509703964
92	yearly	637.2338509703964
91	hit	630.3073960685442
91	special	630.3073960685442
91	his	630.3073960685442
91	rotten	630.3073960685442
91	tomatoes	630.3073960685442
91	bit	630.3073960685442
90	go	623.3809411666921
90	ever	623.3809411666921
90	lotus	623.3809411666921
89	must	616.4544862648399
89	return	616.4544862648399
88	two	609.5280313629878
88	liars	609.5280313629878
87	so	602.6015764611357
87	saints	602.6015764611357
87	newark	602.6015764611357
86	roy	595.6751215592835
86	black	595.6751215592835
86	westeros	595.6751215592835
86	hard	595.6751215592835
85	much	588.7486666574314
84	pretty	581.8222117555792
83	thrones	574.8957568537271
82	may	567.969301951875
82	no	567.969301951875
82	follow	567.969301951875
82	holiday	567.969301951875
82	magic	567.969301951875
82	monthly	567.969301951875
81	same	561.0428470500228
81	oscar	561.0428470500228
81	join	561.0428470500228
80	cry	554.1163921481707
80	doom	554.1163921481707
80	patrol	554.1163921481707
80	finale	554.1163921481707
80	bad	554.1163921481707
80	premiering	554.1163921481707
79	starring	547.1899372463186
79	march	547.1899372463186
79	13	547.1899372463186
78	macho	540.2634823444664
77	if	533.3370274426143
77	17	533.3370274426143
77	city	533.3370274426143
77	celebrate	533.3370274426143
76	star	526.4105725407621
