FREQ	WORD	FPM	EXTRA
4670	:loudly_crying_face:	2501.952808991172	😭
3534	:red_heart:	1893.3407338275806	❤️
3302	:fire:	1769.0467184772697	🔥
1840	:smiling_face_with_heart-eyes:	985.780121743845	😍
1680	:face_with_tears_of_joy:	900.0601111574238	😂
1496	:folded_hands:	801.4820989830392	🙏
1410	:pleading_face:	755.4075932928378	🥺
1185	:rolling_on_the_floor_laughing:	634.8638284056829	🤣
1092	:eyes:	585.0390722523255	👀
715	:smiling_face_with_hearts:	383.0612973080702	🥰
699	:skull:	374.4892962494281	💀
684	:clapping_hands:	366.4530452569511	👏
662	:face_vomiting:	354.66654380131814	🤮
584	:enraged_face:	312.87803864043775	😡
570	:purple_heart:	305.37753771412594	💜
556	:weary_face:	297.87703678781406	😩
554	:face_with_symbols_on_mouth:	296.80553665548376	🤬
542	:star-struck:	290.3765358615022	🤩
518	:pirate_flag:	277.518534273539	🏴‍☠️
464	:face_with_rolling_eyes:	248.5880307006218	🙄
456	:heart_suit:	244.30203017130071	♥️
451	:sparkles:	241.62327984047505	✨
433	:thumbs_up:	231.97977864950266	👍
430	:face_screaming_in_fear:	230.37252845100727	😱
416	:hundred_points:	222.8720275246954	💯
407	:two_hearts:	218.0502769292092	💕
395	:thinking_face:	211.6212761352276	🤔
393	:sparkling_heart:	210.54977600289735	💖
378	:bat:	202.51352501042035	🦇
364	:backhand_index_pointing_right:	195.01302408410848	👉
351	:rainbow_flag:	188.04827322396173	🏳️‍🌈
349	:unamused_face:	186.9767730916315	😒
341	:black_heart:	182.6907725623104	🖤
341	:crying_face:	182.6907725623104	😢
334	:broken_heart:	178.9405220991545	💔
326	:kiss_mark:	174.6545215698334	💋
326	:smiling_face_with_sunglasses:	174.6545215698334	😎
325	:dragon:	174.11877150366828	🐉
319	:raising_hands:	170.90427110667747	🙌
275	:folded_hands_light_skin_tone:	147.3312681954116	🙏🏻
274	:face_with_steam_from_nose:	146.7955181292465	😤
273	:face_with_raised_eyebrow:	146.25976806308137	🤨
271	:beaming_face_with_smiling_eyes:	145.1882679307511	😁
266	:clown_face:	142.50951759992543	🤡
263	:partying_face:	140.90226740143004	🥳
257	:thumbs_down:	137.68776700443922	👎
257	:exploding_head:	137.68776700443922	🤯
253	:smiling_face_with_smiling_eyes:	135.54476673977868	😊
245	:rocket:	131.25876621045762	🚀
237	:backhand_index_pointing_down:	126.97276568113656	👇
234	:folded_hands_medium-light_skin_tone:	125.36551548264116	🙏🏼
234	:heart_on_fire:	125.36551548264116	❤️‍🔥
232	:green_heart:	124.2940153503109	💚
226	:blue_heart:	121.0795149533201	💙
222	:grinning_face_with_sweat:	118.93651468865957	😅
214	:clapping_hands_light_skin_tone:	114.6505141593385	👏🏻
212	:kitchen_knife:	113.57901402700823	🔪
210	:pensive_face:	112.50751389467797	😔
208	:winking_face:	111.4360137623477	😉
208	:pile_of_poo:	111.4360137623477	💩
206	:nauseated_face:	110.36451363001743	🤢
202	:party_popper:	108.2215133653569	🎉
197	:joker:	105.54276303453123	🃏
192	:tired_face:	102.86401270370557	😫
185	:growing_heart:	99.11376224054963	💗
182	:smiling_face_with_open_hands:	97.50651204205424	🤗
180	:hammer_and_pick:	96.43501190972397	⚒️
178	:smiling_face_with_tear:	95.36351177739371	🥲
176	:clapping_hands_medium-light_skin_tone:	94.29201164506344	👏🏼
176	:grinning_squinting_face:	94.29201164506344	😆
174	:folded_hands_medium_skin_tone:	93.22051151273317	🙏🏽
168	:expressionless_face:	90.00601111574237	😑
166	:collision:	88.93451098341211	💥
165	:smirking_face:	88.39876091724697	😏
161	:flushed_face:	86.25576065258645	😳
156	:OK_hand:	83.57701032176078	👌
154	:neutral_face:	82.50551018943051	😐
152	:high_voltage:	81.43401005710024	⚡
147	:speaking_head:	78.75525972627457	🗣️
145	:wastebasket:	77.68375959394432	🗑️
145	:grimacing_face:	77.68375959394432	😬
145	:face_holding_back_tears:	77.68375959394432	🥹
141	:upside-down_face:	75.54075932928377	🙃
134	:crown:	71.79050886612785	👑
134	:hot_face:	71.79050886612785	🥵
133	:dizzy:	71.25475879996272	💫
132	:relieved_face:	70.71900873379758	😌
128	:crossed_fingers:	68.57600846913705	🤞
128	:yellow_heart:	68.57600846913705	💛
126	:face_blowing_a_kiss:	67.50450833680678	😘
124	:folded_hands_medium-dark_skin_tone:	66.43300820447651	🙏🏾
123	:middle_finger:	65.89725813831139	🖕
123	:disappointed_face:	65.89725813831139	😞
121	:slightly_smiling_face:	64.82575800598111	🙂
119	:grinning_face_with_smiling_eyes:	63.75425787365085	😄
111	:clapping_hands_medium-dark_skin_tone:	59.468257344329785	👏🏾
110	:clapping_hands_medium_skin_tone:	58.93250727816465	👏🏽
109	:grinning_face_with_big_eyes:	58.396757211999514	😃
109	:dollar_banknote:	58.396757211999514	💵
108	:woozy_face:	57.861007145834385	🥴
