FREQ	WORD	FPM
33061	to	49264.3355476282
28864	are	43010.36814514807
28201	now	42022.42904868766
27448	#lakersdoc	40900.38057261725
27360	reply	40769.25140144302
27351	#unsubscribe	40755.84046348202
20865	the	31091.02450625397
18301	a	27270.397291586574
16938	is	25239.38524260387
16921	we	25214.053470899755
15440	have	23007.209124206147
14449	here	21530.51584427815
14293	out	21298.059586287465
14212	no	21177.361144638457
14085	episode	20988.117908966553
14039	new	20919.573114943658
14011	streaming	20877.850196842766
13971	stop	20818.246028127207
13851	reminders	20639.43352198053
13835	fear	20615.5918544943
13832	updates	20611.121541840635
13831	receiving	20609.631437622746
13534	era	20167.070484909713
13524	entering	20152.169442730825
13522	shaq	20149.189234295045
13521	opt	20147.69913007716
5244	you	7814.106518609911
4535	i	6757.622628126611
4313	it	6426.819491755254
3754	's	5593.851233955303
3559	this	5303.280911466948
2858	and	4258.7178547267595
2768	of	4124.60847511675
2650	for	3948.7761774058476
2325	n't	3464.492306591923
2059	so	3068.124584633449
2041	in	3041.3027087114474
1929	on	2874.4110363078794
1883	that	2805.866242284985
1760	love	2622.5834234846384
1636	all	2437.8105004664026
1470	what	2190.453200296829
1460	be	2175.5521581179387
1386	my	2065.284445994153
1321	do	1968.427671831368
1301	with	1938.625587473588
1286	your	1916.274024205253
1135	our	1691.268287304014
1029	're	1533.31724020778
1011	me	1506.4953642857781
855	she	1274.0391062950944
852	one	1269.5687936414272
849	ca	1265.0984809877602
837	watch	1247.2172303730922
823	just	1226.3557713226462
813	get	1211.4547291437564
811	like	1208.4745207079784
801	was	1193.5734785290883
799	not	1190.5932700933104
792	time	1180.1625405680873
785	ready	1169.7318110428644
764	more	1138.4396224671952
758	season	1129.4989971598613
731	they	1089.2661832768583
728	right	1084.7958706231914
725	can	1080.3255579695244
698	got	1040.0927440865214
693	see	1032.6422229970765
692	from	1031.1521187791875
687	good	1023.7015976897425
681	always	1014.7609723824085
681	us	1014.7609723824085
662	been	986.4489922425174
648	definitely	965.5875331920714
646	an	962.6073247562935
644	best	959.6271163205155
642	know	956.6469078847374
638	need	950.6864910131815
634	will	944.7260741416254
617	at	919.3943024375125
612	wait	911.9437813480674
610	yes	908.9635729122895
604	favorite	900.0229476049554
592	going	882.1416969902875
580	never	864.2604463756195
578	there	861.2802379398415
572	hulu	852.3396126325075
569	up	847.8692999788406
548	am	816.5771114031716
546	great	813.5969029673936
526	her	783.7948186096136
524	could	780.8146101738356
518	already	771.8739848665016
512	stream	762.9333595591676
494	'm	736.1114836371656
493	about	734.6213794192765
477	he	710.7797119330526
464	much	691.4083571004957
464	would	691.4083571004957
460	day	685.4479402289396
455	how	677.9974191394946
450	as	670.5468980500497
444	let	661.6062727427156
442	too	658.6260643069377
441	way	657.1359600890486
439	if	654.1557516532706
434	has	646.7052305638256
434	'll	646.7052305638256
425	watching	633.2942926028246
416	who	619.8833546418236
413	excited	615.4130419881567
413	these	615.4130419881567
412	same	613.9229377702677
411	them	612.4328335523786
404	go	602.0021040271556
401	did	597.5317913734887
396	every	590.0812702840436
396	only	590.0812702840436
390	such	581.1406449767097
380	when	566.2396027978197
367	've	546.8682479652626
364	back	542.3979353115957
363	but	540.9078310937067
352	think	524.5166846969277
351	or	523.0265804790387
343	better	511.1057467359267
338	should	503.6552256464817
334	some	497.6948087749257
316	show	470.8729328529237
316	movie	470.8729328529237
315	say	469.38282863503474
300	2	447.03126536669976
297	check	442.56095271303275
297	17	442.56095271303275
297	reminder	442.56095271303275
296	miss	441.07084849514376
294	come	438.09064005936574
290	most	432.13022318780975
287	weekly	427.65991053414274
285	happy	424.67970209836477
284	really	423.1895978804758
279	want	415.73907679103075
279	rings	415.73907679103075
276	championship	411.26876413736375
274	notifications	408.2885557015858
273	unsubscribed	406.7984514836968
270	oh	402.3281388300298
264	incredible	393.38751352269577
258	their	384.4468882153618
255	perfect	379.9765755616948
246	over	366.5656376006938
242	live	360.6052207291378
235	true	350.1744912039148
235	life	350.1744912039148
234	night	348.6843869860258
234	first	348.6843869860258
233	had	347.1942827681368
233	down	347.1942827681368
232	which	345.70417855024783
230	fun	342.7239701144698
229	amazing	341.2338658965808
225	sure	335.27344902502483
224	does	333.7833448071358
224	look	333.7833448071358
223	next	332.2932405892468
219	part	326.3328237176908
218	agree	324.84271949980183
217	make	323.3526152819128
217	series	323.3526152819128
215	getting	320.3724068461348
210	moment	312.92188575668985
210	episodes	312.92188575668985
208	than	309.9416773209118
205	start	305.4713646672448
203	well	302.49115623146685
202	take	301.0010520135778
199	enough	296.53073935991085
199	nothing	296.53073935991085
198	everything	295.0406351420218
198	give	295.0406351420218
193	ever	287.59011405257684
193	story	287.59011405257684
192	were	286.10000983468785
192	by	286.10000983468785
191	his	284.6099056167988
188	any	280.13959296313186
184	week	274.17917609157587
182	tell	271.19896765579784
182	him	271.19896765579784
180	many	268.2187592200199
