FREQ	WORD	FPM	EXTRA
2629	:bouquet:	1922.0533876099569	💐
2406	:loudly_crying_face:	1759.0188096574957	😭
1966	:red_heart:	1437.3362343252854	❤️
1852	:face_with_tears_of_joy:	1353.9912034437582	😂
1488	:folded_hands:	1087.871982032566	🙏
1392	:fire:	1017.6866928691746	🔥
1024	:rolling_on_the_floor_laughing:	748.6430844095078	🤣
846	:eyes:	618.5078607523863	👀
813	:pleading_face:	594.3816676024705	🥺
752	:smiling_face_with_heart-eyes:	549.7847651132323	😍
685	:smiling_face_with_hearts:	500.80128205128204	🥰
597	:face_with_rolling_eyes:	436.46476698483997	🙄
539	:clapping_hands:	394.0611547819577	👏
504	:green_heart:	368.4727681078046	💚
492	:weary_face:	359.6996069623807	😩
465	:crossed_fingers:	339.95999438517686	🤞
451	:face_with_symbols_on_mouth:	329.72463971551565	🤬
415	:enraged_face:	303.4051562792439	😡
373	:purple_heart:	272.69909227026017	💜
372	:face_vomiting:	271.9679955081415	🤮
370	:thinking_face:	270.5058019839042	🤔
348	:unamused_face:	254.42167321729366	😒
313	:sparkles:	228.83328654314056	✨
313	:rose:	228.83328654314056	🌹
309	:beaming_face_with_smiling_eyes:	225.90889949466592	😁
298	:hundred_points:	217.86683511136067	💯
275	:heart_suit:	201.05160958263147	♥️
274	:clown_face:	200.32051282051282	🤡
271	:thumbs_up:	198.12722253415683	👍
270	:winking_face:	197.39612577203818	😉
270	:middle_finger:	197.39612577203818	🖕
247	:relieved_face:	180.580900243309	😌
244	:backhand_index_pointing_down:	178.387609956953	👇
242	:star-struck:	176.9254164327157	🤩
241	:smiling_face_with_smiling_eyes:	176.19431967059705	😊
238	:blue_heart:	174.00102938424106	💙
235	:wastebasket:	171.80773909788508	🗑️
232	:sparkling_heart:	169.61444881152912	💖
232	:two_hearts:	169.61444881152912	💕
223	:skull:	163.03457795246118	💀
219	:smiling_face_with_sunglasses:	160.11019090398653	😎
212	:grinning_face_with_sweat:	154.9925135691559	😅
212	:face_with_steam_from_nose:	154.9925135691559	😤
212	:smirking_face:	154.9925135691559	😏
202	:party_popper:	147.6815459479693	🎉
201	:raising_hands:	146.95044918585066	🙌
191	:folded_hands_light_skin_tone:	139.63948156466404	🙏🏻
187	:face_blowing_a_kiss:	136.7150945161894	😘
178	:gem_stone:	130.13522365712146	💎
175	:partying_face:	127.94193337076548	🥳
174	:sunflower:	127.21083660864683	🌻
164	:rocket:	119.89986898746022	🚀
160	:tired_face:	116.9754819389856	😫
159	:black_heart:	116.24438517686693	🖤
159	:pile_of_poo:	116.24438517686693	💩
158	:clapping_hands_light_skin_tone:	115.51328841474827	👏🏻
157	:crying_face:	114.7821916526296	😢
157	:face_with_raised_eyebrow:	114.7821916526296	🤨
157	:cherry_blossom:	114.7821916526296	🌸
155	:broken_heart:	113.31999812839229	💔
152	:black_large_square:	111.12670784203631	⬛
151	:face_holding_back_tears:	110.39561107991764	🥹
148	:detective:	108.20232079356167	🕵️
143	:grinning_squinting_face:	104.54683698296837	😆
141	:yellow_heart:	103.08464345873105	💛
139	:face_with_hand_over_mouth:	101.62244993449373	🤭
139	:tomato:	101.62244993449373	🍅
139	:heart_on_fire:	101.62244993449373	❤️‍🔥
139	:hibiscus:	101.62244993449373	🌺
136	:expressionless_face:	99.42915964813776	😑
