FREQ	WORD	FPM
455938	to	54738.63967748794
445422	the	53476.11816173698
305697	for	36701.125884416375
252092	on	30265.459675607846
240616	out	28887.683247806584
240420	reply	28864.152036596315
240419	#unsubscribe	28864.031979396263
240419	opt	28864.031979396263
219940	your	26405.38057952331
219557	is	26359.39867190324
198060	enola	23778.52904237695
198059	holmes	23778.4089851769
190569	netflix	22879.180556784475
188638	's	22647.350103483303
162869	you	19553.59611533319
144534	an	17352.347352372566
141887	2	17034.55594383388
116669	ball	14006.953472912635
116666	decode	14006.593301312478
105051	now	12612.128922703932
94925	available	11396.429714973401
89043	invitation	10690.253264265226
85234	sneak	10232.955389265662
85231	peek	10232.595217665505
85211	exclusive	10230.194073664457
79052	at	9490.761778541768
74886	4	8990.6034831235
70732	adventure	8491.88587410586
60114	and	7217.118523949551
59171	way	7103.904584300144
59121	keep	7097.901724297524
59118	eyes	7097.5415526973675
59106	match	7096.100866296739
59101	maker	7095.500580296476
57710	only	6928.501015023598
57670	game	6923.698727021502
57566	below	6911.212778216053
57564	afoot	6910.972663815948
57564	nov.	6910.972663815948
57564	#holmesbury	6910.972663815948
56445	officially	6776.62865695732
56436	detective	6775.548142156849
56429	open	6774.707741756482
56428	business	6774.58768455643
56423	agency	6773.987398556168
50551	thanks	6069.011519848516
48981	here	5880.52171576626
48066	've	5770.66937771832
44173	get	5303.286697914355
44097	ready	5294.162350710372
42317	can	5080.460534617113
42082	or	5052.247092604801
39770	a	4774.674846083668
37822	it	4540.803420381607
37403	perfect	4490.499453559654
37387	long	4488.578538358815
37378	being	4487.498023558344
37363	enough	4485.697165557558
37358	called	4485.096879557296
37348	holidays	4483.896307556773
37347	#slumberland	4483.77625035672
37346	waited	4483.6561931566675
34832	of	4181.832392224952
33450	november	4015.9133417525445
33393	18	4009.070081349558
33387	dreams	4008.349738149244
31493	dance	3780.9614012500115
31489	handle	3780.4811724498018
31482	tewkesbury	3779.6407720494353
31480	onto	3779.4006576493302
31479	sharp	3779.280600449278
31479	card	3779.280600449278
31477	can't	3779.040486049173
31477	sleuth	3779.040486049173
27901	live	3349.715938661816
27841	first	3342.5125066586725
27814	have	3339.270962257258
27700	into	3325.584441451285
27678	find	3322.9431830501326
27674	'll	3322.462954249923
27649	ok	3319.461524248613
27640	message	3318.3810094481414
27627	clue	3316.82026584746
27625	peeled	3316.5801514473555
21466	all	2577.1478563246674
21365	watch	2565.0220791193756
21336	more	2561.5404203178564
21331	#tudum	2560.940134317594
21238	event	2549.7748147127218
21224	fan	2548.0940139119884
21223	global	2547.973956711936
21208	youtube	2546.17309871115
21199	twitter	2545.0925839106785
21195	channels	2544.612355110469
17369	when	2085.2735077100133
17269	see	2073.267787704774
17232	march	2068.8256713028354
17209	chris	2066.0643557016306
17196	rock	2064.5036121009493
17192	goes	2064.0233833007396
17177	#chrisrocklive	2062.2225252999538
11101	from	1332.7549777816143
10877	we	1305.8621649698782
10723	fans	1287.3733561618096
10722	got	1287.2532989617573
10721	12	1287.133241761705
10715	september	1286.4128985613906
10715	so	1286.4128985613906
10714	am	1286.292841361338
10699	25	1284.4919833605522
10695	9	1284.0117545603428
10694	pm	1283.8916973602904
10688	something	1283.171354159976
10677	expect	1281.8507249593997
10672	pst	1281.2504389591377
10670	est	1281.0103245590328
10669	massive	1280.8902673589805
10654	look	1279.0894093581946
10630	things	1276.2080365569373
10614	stranger	1274.2871213560989
10594	much	1271.885977355051
10588	right	1271.1656341547366
10570	red	1269.0046045537936
10556	witcher	1267.32380375306
10540	notice	1265.4028885522218
10537	literally	1265.0427169520647
10527	access	1263.8421449515406
7549	in	906.3118031955145
6379	will	765.8448791342147
6168	meet	740.5128099231598
6143	jason	737.51137992185
6135	momoa	736.5509223214308
6134	slumberland	736.4308651213785
591	this	70.95380523096424
492	i	59.06814242577734
487	season	58.46785642551537
484	that	58.10768482535819
379	with	45.501678819856934
362	new	43.460706418966254
328	are	39.37876161718489
324	as	38.89853281697532
317	premieres	38.05813241660857
279	one	33.49595881461764
262	love	31.454986413726957
257	n't	30.85470041346499
256	who	30.7346432134126
252	her	30.254414413203026
243	star	29.17389961273149
236	by	28.33349921236474
232	be	27.85327041215517
218	series	26.172469611421665
216	about	25.932355211316878
204	what	24.491668810688164
203	do	24.37161161063577
197	just	23.651268410321414
194	but	23.291096810164234
190	has	22.810868009954664
189	was	22.69081080990227
181	she	21.730353209483127
172	my	20.64983840901159
169	back	20.28966680885441
168	time	20.169609608802016
164	they	19.689380808592446
162	me	19.44926640848766
161	like	19.329209208435266
155	their	18.60886600812091
151	story	18.128637207911336
149	if	17.888522807806552
148	up	17.76846560775416
146	how	17.528351207649372
145	his	17.40829400759698
140	're	16.808008007335015
139	not	16.687950807282622
134	world	16.08766480702066
133	he	15.967607606968263
128	stars	15.3673216067063
128	us	15.3673216067063
124	3	14.887092806496728
120	coming	14.406864006287156
118	life	14.16674960618237
114	film	13.686520805972798
113	show	13.566463605920404
111	been	13.32634920581562
110	no	13.206292005763226
106	know	12.726063205553654
96	final	11.525491205029724
94	movie	11.285376804924939
94	day	11.285376804924939
92	two	11.045262404820152
92	cast	11.045262404820152
91	ever	10.92520520476776
90	1	10.805148004715367
90	december	10.805148004715367
88	our	10.56503360461058
84	best	10.084804804401008
82	most	9.844690404296223
81	hours	9.72463320424383
80	these	9.604576004191436
80	year	9.604576004191436
80	streaming	9.604576004191436
79	would	9.484518804139045
79	academy	9.484518804139045
78	after	9.364461604086651
77	episodes	9.244404404034258
77	years	9.244404404034258
76	some	9.124347203981864
76	never	9.124347203981864
73	where	8.764175603824686
