FREQ	WORD	FPM	EXTRA
22630	:white_heart:	4525.981896072416	🤍
9837	:heart_suit:	1967.3921304314783	♥️
6140	:man_zombie:	1227.995088019648	🧟‍♂️
5615	:sparkles:	1122.995508017968	✨
2890	:alarm_clock:	577.997688009248	⏰
2350	:police_car_light:	469.99812000751996	🚨
406	:television:	81.1996752012992	📺
355	:movie_camera:	70.999716001136	🎥
185	:red_heart:	36.999852000592	❤️
87	:fire:	17.3999304002784	🔥
85	:eyes:	16.999932000272	👀
82	:clapping_hands:	16.3999344002624	👏
80	:face_with_tears_of_joy:	15.999936000256	😂
65	:loudly_crying_face:	12.999948000207999	😭
55	:clown_face:	10.999956000175999	🤡
51	:slightly_smiling_face:	10.1999592001632	🙂
46	:triangular_flag:	9.199963200147199	🚩
40	:camera_with_flash:	7.999968000128	📸
34	:smiling_face_with_heart-eyes:	6.7999728001088	😍
33	:pleading_face:	6.599973600105599	🥺
32	:smiling_face_with_horns:	6.3999744001023995	😈
32	:star:	6.3999744001023995	⭐
30	:musical_notes:	5.999976000096	🎶
28	:upside-down_face:	5.599977600089599	🙃
28	:raising_hands:	5.599977600089599	🙌
27	:relieved_face:	5.3999784000863995	😌
26	:crown:	5.1999792000832	👑
26	:flushed_face:	5.1999792000832	😳
24	:american_football:	4.7999808000768	🏈
24	:eye:	4.7999808000768	👁️
22	:skull:	4.3999824000703995	💀
22	:white_large_square:	4.3999824000703995	⬜
21	:two_hearts:	4.1999832000672	💕
21	:winking_face:	4.1999832000672	😉
21	:backhand_index_pointing_down:	4.1999832000672	👇
21	:folded_hands_medium-light_skin_tone:	4.1999832000672	🙏🏼
19	:sparkling_heart:	3.7999848000607996	💖
19	:exploding_head:	3.7999848000607996	🤯
18	:kiss_man_man:	3.5999856000576	👨‍❤️‍💋‍👨
17	:crossed_swords:	3.3999864000544	⚔️
16	:speaking_head:	3.1999872000511997	🗣️
16	:smiling_face_with_tear:	3.1999872000511997	🥲
16	:smiling_face_with_sunglasses:	3.1999872000511997	😎
16	:baseball:	3.1999872000511997	⚾
15	:purple_heart:	2.999988000048	💜
14	:smirking_face:	2.7999888000447997	😏
14	:revolving_hearts:	2.7999888000447997	💞
13	:nail_polish:	2.5999896000416	💅
13	:check_mark_button:	2.5999896000416	✅
13	:trophy:	2.5999896000416	🏆
13	:hundred_points:	2.5999896000416	💯
13	:collision:	2.5999896000416	💥
13	:blue_heart:	2.5999896000416	💙
12	:smiling_face_with_hearts:	2.3999904000384	🥰
12	:rolled-up_newspaper:	2.3999904000384	🗞️
12	:mouth:	2.3999904000384	👄
10	:smiling_face:	1.999992000032	☺️
10	:star-struck:	1.999992000032	🤩
9	:sun:	1.7999928000288	☀️
9	:ghost:	1.7999928000288	👻
9	:round_pushpin:	1.7999928000288	📍
9	:Christmas_tree:	1.7999928000288	🎄
