FREQ	WORD	FPM
247174	to	49434.60226159095
234964	on	46992.612029551885
169331	out	33866.064535741854
161435	prime	32286.87085251659
157518	video	31503.473986104054
154987	reply	30997.276010895956
154984	opt	30996.676013295946
150487	now	30097.279610881556
144154	is	28830.68467726129
134590	the	26917.892328430687
129992	streaming	25998.296006815974
128920	of	25783.89686441254
97944	you	19588.72164511342
79299	n't	15859.736561053756
78400	it	15679.937280250879
73554	#stop	14710.741157035372
66365	#unsubscribe	13272.946908212367
62453	do	12490.550037799849
55458	miss	11091.555633777465
53845	for	10768.956924172304
53021	let	10604.157583369666
47181	watch	9436.162255350979
46072	in	9214.36314254743
45694	my	9138.76344494622
45469	policeman	9093.7636249455
45048	are	9009.563961744154
40720	#theperipheral	8143.967424130304
38128	's	7625.569497722009
38070	episode	7613.969544121824
37373	take	7474.570101719593
37313	hold	7462.570149719401
37204	#mypoliceman	7440.770236919052
37179	november	7435.770256918972
34729	3	6945.772216911132
33417	season	6683.373266506934
33209	we	6641.773432906269
31156	and	6231.175075299699
30383	4	6076.575693697225
29795	episodes	5958.976164095344
29067	your	5813.376746493014
29033	only	5806.576773692906
28271	be	5654.177383290466
24354	about	4870.780516877932
22889	one	4577.781688873244
22833	movie	4566.581733673065
22773	ca	4554.581781672873
22670	until	4533.981864072543
22663	week	4532.581869672521
22652	event	4530.381878472486
22645	fans	4528.981884072464
22639	stop	4527.781888872444
22626	raving	4525.181899272403
22166	ready	4433.182267270931
22077	#outerrange	4415.382338470646
22076	first	4415.182339270643
21716	'll	4343.182627269491
21181	new	4236.183055267779
20326	're	4065.1837392650427
20313	time	4062.5837496650015
20289	when	4057.7837688649247
19415	a	3882.9844680621277
19354	#thelegendofvoxmachina	3870.7845168619324
18417	this	3683.385266458934
17605	know	3520.9859160563356
17504	here	3500.7859968560124
16940	tune	3387.986448054208
16659	drops	3331.7866728533086
16293	thanks	3258.586965652137
15459	not	3091.7876328494685
15065	#exittheperipheral	3012.9879480482077
14510	4th	2901.9883920464317
14343	7	2868.5885256458973
13652	tom	2730.3890784436862
13649	jack	2729.7890808436764
13632	ryan	2726.389094443622
13625	clancy	2724.9891000436
13615	12/21	2722.9891080435677
13367	mission	2673.3893064427743
13344	#jackryan	2668.789324842701
12766	at	2553.189787240851
12153	transformania	2430.5902776388893
12140	hotel	2427.9902880388477
12010	hit	2401.9903920384318
11896	they	2379.190483238067
11392	5	2278.3908864364544
11287	waiting	2257.390970436118
11227	6	2245.391018435926
11090	will	2217.9911280354877
10758	#lizzosbiggrrrls	2151.5913936344255
10666	latest	2133.191467234131
10162	january	2032.3918704325183
9908	march	1981.5920736317055
9588	below	1917.5923296306814
9559	click	1911.7923528305887
8677	et	1735.3930584277664
8655	pt	1730.993076027696
8169	with	1633.7934648261407
7788	future	1557.5937696249216
7768	been	1553.5937856248574
7753	've	1550.5937976248094
7722	#theconsultant	1544.3938224247104
7720	connect	1543.9938240247038
7683	#acmawards	1536.5938536245856
7656	exclusively	1531.1938752244992
7627	all	1525.3938984244064
7608	loaded	1521.5939136243455
7607	locked	1521.3939144243423
7603	no	1520.5939176243296
7598	more	1519.5939216243135
7558	glitch	1511.5939536241856
7489	around	1497.7940088239648
7479	sitting	1495.7940168239327
7362	two	1472.3941104235582
6855	stream	1370.9945160219359
6828	available	1365.5945376218494
6827	what	1365.3945384218464
6732	live	1346.3946144215422
6693	57th	1338.5946456214176
6667	showtime	1333.3946664213343
6666	#acmredcarpet	1333.1946672213312
6666	link	1333.1946672213312
6354	but	1270.7949168203327
6243	his	1248.5950056199774
6200	our	1239.99504001984
6176	#hoteltransylvania	1235.1950592197632
6159	everything	1231.7950728197088
6145	trouble	1228.9950840196639
6144	14	1228.7950848196608
6143	drac	1228.5950856196575
6141	monstrous	1228.1950872196512
6140	admirable	1227.995088019648
